Species,specimen_identifier,individual_or_pop,number,mass,notes,date
Bothriochloa_laguroides,AUB011-KATY2-1,KATY2,1,0.0014133,,6-Apr-21
Bothriochloa_laguroides,AUB011-KATY2-2,KATY2,2,0.0011058,,6-Apr-21
Bothriochloa_laguroides,AUB011-KATY2-3,KATY2,3,0.0010397,,6-Apr-21
Bothriochloa_laguroides,AUB011-KATY2-4,KATY2,4,0.0014414,,6-Apr-21
Bothriochloa_laguroides,AUB011-KATY2-5,KATY2,5,0.001151,,6-Apr-21
Bothriochloa_laguroides,AUB011-KATY2-6,KATY2,6,0.0012293,,6-Apr-21
Bothriochloa_laguroides,AUB011-KATY2-7,KATY2,7,0.0014748,,6-Apr-21
Bothriochloa_laguroides,AUB011-KATY2-8,KATY2,8,0.0012062,,6-Apr-21
Bothriochloa_laguroides,AUB011-KATY2-9,KATY2,9,0.0016621,,6-Apr-21
Bothriochloa_laguroides,AUB011-KATY2-10,KATY2,10,0.00141,,6-Apr-21
Bothriochloa_laguroides,AUB011-KATY2-11,KATY2,11,0.0015771,,6-Apr-21
Bothriochloa_laguroides,AUB011-KATY2-12,KATY2,12,0.0014,,6-Apr-21
Bothriochloa_laguroides,AUB011-KATY2-13,KATY2,13,0.0013375,,6-Apr-21
Bothriochloa_laguroides,AUB011-KATY2-14,KATY2,14,0.0010789,,6-Apr-21
Bothriochloa_laguroides,AUB011-KATY2-15,KATY2,15,0.0012536,,6-Apr-21
Bothriochloa_laguroides,AUB011-KATY2-16,KATY2,16,0.0013486,,6-Apr-21
Bothriochloa_laguroides,AUB011-KATY2-17,KATY2,17,0.0010607,,6-Apr-21
Bothriochloa_laguroides,AUB011-KATY2-18,KATY2,18,0.0010145,,6-Apr-21
Bothriochloa_laguroides,AUB011-KATY2-19,KATY2,19,0.0014137,,6-Apr-21
Bothriochloa_laguroides,AUB011-KATY2-20,KATY2,20,0.0015665,,6-Apr-21
Bothriochloa_laguroides,Kellogg 1279-NM2-1,NM2,1,0.0039693,,6-Apr-21
Bothriochloa_laguroides,Kellogg 1279-NM2-2,NM2,2,0.003403,,6-Apr-21
Bothriochloa_laguroides,Kellogg 1279-NM2-3,NM2,3,0.0041916,,6-Apr-21
Bothriochloa_laguroides,Kellogg 1279-NM2-4,NM2,4,0.0041755,,6-Apr-21
Bothriochloa_laguroides,Kellogg 1279-NM2-5,NM2,5,0.0041116,,6-Apr-21
Bothriochloa_laguroides,Kellogg 1279-NM2-6,NM2,6,0.0040103,,6-Apr-21
Bothriochloa_laguroides,Kellogg 1279-NM2-7,NM2,7,0.0042155,,6-Apr-21
Bothriochloa_laguroides,Kellogg 1279-NM2-8,NM2,8,0.0039031,,6-Apr-21
Bothriochloa_laguroides,Kellogg 1279-NM2-9,NM2,9,0.0044761,,6-Apr-21
Bothriochloa_laguroides,Kellogg 1279-NM2-10,NM2,10,0.0039499,,6-Apr-21
Bothriochloa_laguroides,Kellogg 1279-NM2-11,NM2,11,0.0044917,,6-Apr-21
Bothriochloa_laguroides,Kellogg 1279-NM2-12,NM2,12,0.004231,,6-Apr-21
Bothriochloa_laguroides,Kellogg 1279-NM2-13,NM2,13,0.0044408,,6-Apr-21
Bothriochloa_laguroides,Kellogg 1279-NM2-14,NM2,14,0.0042154,,6-Apr-21
Bothriochloa_laguroides,Kellogg 1279-NM2-15,NM2,15,0.0043897,,6-Apr-21
Bothriochloa_laguroides,Kellogg 1279-NM2-16,NM2,16,0.0041242,,6-Apr-21
Bothriochloa_laguroides,Kellogg 1279-NM2-17,NM2,17,0.0045166,,6-Apr-21
Bothriochloa_laguroides,Kellogg 1279-NM2-18,NM2,18,0.0042683,,6-Apr-21
Bothriochloa_laguroides,Kellogg 1279-NM2-19,NM2,19,0.0045736,,6-Apr-21
Bothriochloa_laguroides,Kellogg 1279-NM2-20,NM2,20,0.0042088,,6-Apr-21
Bothriochloa_laguroides,Aub78-TX1-1,TX1,1,0.0008886,,5-Apr-21
Bothriochloa_laguroides,Aub78-TX1-2,TX1,2,0.0007939,,5-Apr-21
Bothriochloa_laguroides,Aub78-TX1-3,TX1,3,0.00093,,5-Apr-21
Bothriochloa_laguroides,Aub78-TX1-4,TX1,4,0.0007998,,5-Apr-21
Bothriochloa_laguroides,Aub78-TX1-5,TX1,5,0.0008493,,5-Apr-21
Bothriochloa_laguroides,Aub78-TX1-6,TX1,6,0.000955,,5-Apr-21
Bothriochloa_laguroides,Aub78-TX1-7,TX1,7,,,5-Apr-21
Bothriochloa_laguroides,Aub78-TX1-8,TX1,8,0.0008131,,5-Apr-21
Bothriochloa_laguroides,Aub78-TX1-9,TX1,9,0.0008336,,5-Apr-21
Bothriochloa_laguroides,Aub78-TX1-10,TX1,10,0.0008373,,5-Apr-21
Bothriochloa_laguroides,Aub78-TX1-11,TX1,11,0.0009928,,5-Apr-21
Bothriochloa_laguroides,Aub78-TX1-12,TX1,12,0.0008946,,5-Apr-21
Bothriochloa_laguroides,Aub78-TX1-13,TX1,13,0.0010261,,5-Apr-21
Bothriochloa_laguroides,Aub78-TX1-14,TX1,14,0.0007891,,5-Apr-21
Bothriochloa_laguroides,Aub78-TX1-15,TX1,15,0.0011767,,5-Apr-21
Bothriochloa_laguroides,Aub78-TX1-16,TX1,16,0.0008639,,5-Apr-21
Bothriochloa_laguroides,Aub78-TX1-17,TX1,17,0.0008029,,5-Apr-21
Bothriochloa_laguroides,Aub78-TX1-18,TX1,18,0.0008094,,5-Apr-21
Bothriochloa_laguroides,Aub78-TX1-19,TX1,19,0.0004768,,5-Apr-21
Bothriochloa_laguroides,Aub78-TX1-20,TX1,20,0.0009028,,5-Apr-21
Capillipedium_spicigerum,PI301773-1,PI301773,1,0.0007299,,5-Apr-22
Capillipedium_spicigerum,PI301773-2,PI301773,2,0.0007458,,5-Apr-22
Capillipedium_spicigerum,PI301773-3,PI301773,3,0.0007809,,5-Apr-22
Capillipedium_spicigerum,PI301773-4,PI301773,4,0.0007758,,5-Apr-22
Capillipedium_spicigerum,PI301773-5,PI301773,5,0.000756,,5-Apr-22
Capillipedium_spicigerum,PI301773-6,PI301773,6,0.00078,,5-Apr-22
Capillipedium_spicigerum,PI301773-7,PI301773,7,0.0008955,,5-Apr-22
Capillipedium_spicigerum,PI301773-8,PI301773,8,0.0008454,,5-Apr-22
Capillipedium_spicigerum,PI301773-9,PI301773,9,0.0008021,,5-Apr-22
Capillipedium_spicigerum,PI301773-10,PI301773,10,0.0008235,,5-Apr-22
Chasmanthium_laxum,Kellogg1268C-1,Kellogg1268C,1,0.0014399,,
Chasmanthium_laxum,Kellogg1268C-2,Kellogg1268C,2,0.0016325,,
Chasmanthium_laxum,Kellogg1268C-3,Kellogg1268C,3,0.0015689,,
Chasmanthium_laxum,Kellogg1268C-4,Kellogg1268C,4,0.0013812,,
Chasmanthium_laxum,Kellogg1268C-5,Kellogg1268C,5,0.0017872,,
Chasmanthium_laxum,Kellogg1268C-6,Kellogg1268C,6,0.0015597,,
Chasmanthium_laxum,Kellogg1268C-7,Kellogg1268C,7,0.0019499,,
Chasmanthium_laxum,Kellogg1268C-8,Kellogg1268C,8,0.0019803,,
Chasmanthium_laxum,Kellogg1268C-9,Kellogg1268C,9,0.0017948,,
Chasmanthium_laxum,Kellogg1268C-10,Kellogg1268C,10,0.0010164,,
Cymbopogon_refractus,AUB65-1,AUB65,1,0.0013767,,16-Aug-21
Cymbopogon_refractus,AUB65-2,AUB65,2,0.00141,,16-Aug-21
Cymbopogon_refractus,AUB65-3,AUB65,3,0.0013225,,16-Aug-21
Cymbopogon_refractus,AUB65-4,AUB65,4,0.0013665,,16-Aug-21
Cymbopogon_refractus,AUB65-5,AUB65,5,0.001325,,16-Aug-21
Cymbopogon_refractus,AUB65-6,AUB65,6,0.0015026,,16-Aug-21
Cymbopogon_refractus,AUB65-7,AUB65,7,0.0013222,,16-Aug-21
Cymbopogon_refractus,AUB65-8,AUB65,8,0.0012386,,16-Aug-21
Cymbopogon_refractus,AUB65-9,AUB65,9,0.0013768,,16-Aug-21
Cymbopogon_refractus,AUB65-10,AUB65,10,0.0012202,,16-Aug-21
Elionurus_tripsacoides,TK198-1,TK198,1,0.0039639,,6-Apr-22
Elionurus_tripsacoides,TK198-2,TK198,2,0.0035046,,6-Apr-22
Elionurus_tripsacoides,TK198-3,TK198,3,0.0035607,,6-Apr-22
Elionurus_tripsacoides,TK198-4,TK198,4,0.0036408,,6-Apr-22
Elionurus_tripsacoides,TK198-5,TK198,5,0.0037885,,6-Apr-22
Elionurus_tripsacoides,TK198-6,TK198,6,0.0039705,,6-Apr-22
Elionurus_tripsacoides,TK198-7,TK198,7,0.0044383,,6-Apr-22
Elionurus_tripsacoides,TK198-8,TK198,8,0.0052825,,6-Apr-22
Elionurus_tripsacoides,TK198-9,TK198,9,0.0041746,,6-Apr-22
Elionurus_tripsacoides,TK198-10,TK198,10,0.0035607,,6-Apr-22
Hyparrhenia_diplandra,TK307-1,TK307-Pasquet1220,1,0.0074054,,5-Apr-22
Hyparrhenia_diplandra,TK307-2,TK307-Pasquet1220,2,0.0071207,,5-Apr-22
Hyparrhenia_diplandra,TK307-3,TK307-Pasquet1220,3,0.0070128,,5-Apr-22
Hyparrhenia_diplandra,TK307-4,TK307-Pasquet1220,4,0.0067301,,5-Apr-22
Hyparrhenia_diplandra,TK307-5,TK307-Pasquet1220,5,0.0064934,,5-Apr-22
Hyparrhenia_diplandra,TK307-6,TK307-Pasquet1220,6,0.0063706,,5-Apr-22
Hyparrhenia_diplandra,TK307-7,TK307-Pasquet1220,7,0.006534,,5-Apr-22
Hyparrhenia_diplandra,TK307-8,TK307-Pasquet1220,8,0.0066662,,5-Apr-22
Hyparrhenia_diplandra,TK307-9,TK307-Pasquet1220,9,0.0064987,,5-Apr-22
Hyparrhenia_diplandra,TK307-10,TK307-Pasquet1220,10,0.0066011,,5-Apr-22
Hyparrhenia_filipendula,empty-1,empty,1,0.0012172,,18-Aug-21
Hyparrhenia_filipendula,empty-2,empty,2,0.0011769,,18-Aug-21
Hyparrhenia_filipendula,empty-3,empty,3,0.0010317,,18-Aug-21
Hyparrhenia_filipendula,empty-4,empty,4,0.0010472,,18-Aug-21
Hyparrhenia_filipendula,empty-5,empty,5,0.0010568,,18-Aug-21
Hyparrhenia_filipendula,empty-6,empty,6,0.0009471,,18-Aug-21
Hyparrhenia_filipendula,empty-7,empty,7,0.0004909,,18-Aug-21
Hyparrhenia_filipendula,empty-8,empty,8,0.0014275,,18-Aug-21
Hyparrhenia_filipendula,empty-9,empty,9,0.0012319,,18-Aug-21
Hyparrhenia_filipendula,empty-10,empty,10,0.0006348,,18-Aug-21
Hyparrhenia_filipendula,TK237-1,TK237,1,0.0020117,,6-Apr-21
Hyparrhenia_filipendula,TK237-2,TK237,2,0.0023759,,6-Apr-21
Hyparrhenia_filipendula,TK237-3,TK237,3,0.0015676,,6-Apr-21
Hyparrhenia_filipendula,TK237-4,TK237,4,0.0024663,,6-Apr-21
Hyparrhenia_filipendula,TK237-5,TK237,5,0.0019858,,6-Apr-21
Hyparrhenia_filipendula,TK237-6,TK237,6,0.001837,,18-Aug-21
Hyparrhenia_filipendula,TK237-7,TK237,7,0.0018721,,18-Aug-21
Hyparrhenia_filipendula,TK237-8,TK237,8,0.0018176,,18-Aug-21
Hyparrhenia_filipendula,TK237-9,TK237,9,0.0022555,,18-Aug-21
Hyparrhenia_filipendula,TK237-10,TK237,10,0.0020756,,18-Aug-21
Hyparrhenia_hirta,PI315595-1,PI315595,1,0.0013718,,4-Apr-22
Hyparrhenia_hirta,PI315595-2,PI315595,2,0.0012728,,4-Apr-22
Hyparrhenia_hirta,PI315595-3,PI315595,3,0.0014276,,4-Apr-22
Hyparrhenia_hirta,PI315595-4,PI315595,4,0.0013732,,4-Apr-22
Hyparrhenia_hirta,PI315595-5,PI315595,5,0.0013098,,4-Apr-22
Hyparrhenia_hirta,PI315595-6,PI315595,6,0.0017144,,4-Apr-22
Hyparrhenia_hirta,PI315595-7,PI315595,7,0.0014849,,4-Apr-22
Hyparrhenia_hirta,PI315595-8,PI315595,8,0.0013763,,4-Apr-22
Hyparrhenia_hirta,PI315595-9,PI315595,9,0.0015162,,4-Apr-22
Hyparrhenia_hirta,PI315595-10,PI315595,10,0.0016517,,4-Apr-22
Ischaemum_rugosum,Traiperm511-1,Traiperm 511,1,0.0033274,,
Ischaemum_rugosum,Traiperm511-2,Traiperm 511,2,0.0024063,,
Ischaemum_rugosum,Traiperm511-3,Traiperm 511,3,0.0032234,,
Ischaemum_rugosum,Traiperm511-4,Traiperm 511,4,0.0032205,,
Ischaemum_rugosum,Traiperm511-5,Traiperm 511,5,0.0040008,,
Ischaemum_rugosum,Traiperm511-6,Traiperm 511,6,0.0043624,,
Ischaemum_rugosum,Traiperm511-7,Traiperm 511,7,0.0043217,,
Ischaemum_rugosum,Traiperm511-8,Traiperm 511,8,0.0039181,,
Ischaemum_rugosum,Traiperm511-9,Traiperm 511,9,0.0042488,,
Ischaemum_rugosum,Traiperm511-10,Traiperm 511,10,0.0047296,,
Kerriochloa_siamensis,Traiperm581-1,Traiperm 581,1,0.0025635,,
Kerriochloa_siamensis,Traiperm581-2,Traiperm 582,2,0.002127,,
Kerriochloa_siamensis,Traiperm581-3,Traiperm 583,3,0.0032088,,
Pogonatherum_paniceum,TK072-1,TK072-Clark,1,0.0001636,,6-Apr-22
Pogonatherum_paniceum,TK072-2,TK072-Clark,2,0.0001779,,6-Apr-22
Pogonatherum_paniceum,TK072-3,TK072-Clark,3,0.0001706,,6-Apr-22
Pogonatherum_paniceum,TK072-4,TK072-Clark,4,0.0001716,,6-Apr-22
Pogonatherum_paniceum,TK072-5,TK072-Clark,5,0.0002379,,6-Apr-22
Pogonatherum_paniceum,TK072-6,TK072-Clark,6,0.0001875,,6-Apr-22
Pogonatherum_paniceum,TK072-7,TK072-Clark,7,0.0001882,,6-Apr-22
Pogonatherum_paniceum,TK072-8,TK072-Clark,8,0.0001874,,6-Apr-22
Pogonatherum_paniceum,TK072-9,TK072-Clark,9,0.0001798,,6-Apr-22
Pogonatherum_paniceum,TK072-10,TK072-Clark,10,0.0001683,,6-Apr-22
Rottboellia_tuberculosa,TK199-1,TK199,1,0.0061476,,16-Aug-21
Rottboellia_tuberculosa,TK199-2,TK199,2,0.005483,,16-Aug-21
Rottboellia_tuberculosa,TK199-3,TK199,3,0.0053273,,16-Aug-21
Rottboellia_tuberculosa,TK199-4,TK199,4,0.0058266,,16-Aug-21
Rottboellia_tuberculosa,TK199-5,TK199,5,0.0055895,,16-Aug-21
Rottboellia_tuberculosa,TK199-6,TK199,6,0.005351,,16-Aug-21
Rottboellia_tuberculosa,TK199-7,TK199,7,0.0062431,,16-Aug-21
Rottboellia_tuberculosa,TK199-8,TK199,8,0.0051064,,16-Aug-21
Rottboellia_tuberculosa,TK199-9,TK199,9,0.0058763,,16-Aug-21
Rottboellia_tuberculosa,TK199-10,TK199,10,0.0053307,,16-Aug-21
Saccharum_contortum,IC4-VA-1,IC4-Kinsvale-VA,1,0.003924,,5-Apr-22
Saccharum_contortum,IC4-VA-2,IC4-Kinsvale-VA,2,0.0042824,,5-Apr-22
Saccharum_contortum,IC4-VA-3,IC4-Kinsvale-VA,3,0.0032722,,5-Apr-22
Saccharum_contortum,IC4-VA-4,IC4-Kinsvale-VA,4,0.0036289,,5-Apr-22
Saccharum_contortum,IC4-VA-5,IC4-Kinsvale-VA,5,0.0033584,,5-Apr-22
Saccharum_contortum,IC4-VA-6,IC4-Kinsvale-VA,6,0.0033512,,5-Apr-22
Saccharum_contortum,IC4-VA-7,IC4-Kinsvale-VA,7,0.0033902,,5-Apr-22
Saccharum_contortum,IC4-VA-8,IC4-Kinsvale-VA,8,0.0025545,,5-Apr-22
Saccharum_contortum,IC4-VA-9,IC4-Kinsvale-VA,9,0.0024316,,5-Apr-22
Saccharum_contortum,IC4-VA-10,IC4-Kinsvale-VA,10,0.0024684,,5-Apr-22
Schizachyrium_scoparium,Aub014-5AL-1,5AL,1,0.0027232,,5-Apr-21
Schizachyrium_scoparium,Aub014-5AL-2,5AL,2,0.0026562,,5-Apr-21
Schizachyrium_scoparium,Aub014-5AL-3,5AL,3,0.0023489,,5-Apr-21
Schizachyrium_scoparium,Aub014-5AL-4,5AL,4,0.0025866,,5-Apr-21
Schizachyrium_scoparium,Aub014-5AL-5,5AL,5,0.0024691,,5-Apr-21
Schizachyrium_scoparium,Aub014-5AL-6,5AL,6,0.0023799,,5-Apr-21
Schizachyrium_scoparium,Aub014-5AL-7,5AL,7,0.0022527,,5-Apr-21
Schizachyrium_scoparium,Aub014-5AL-8,5AL,8,0.0028028,,5-Apr-21
Schizachyrium_scoparium,Aub014-5AL-9,5AL,9,0.0024491,,5-Apr-21
Schizachyrium_scoparium,Aub014-5AL-10,5AL,10,0.0025131,,5-Apr-21
Schizachyrium_scoparium,Aub014-5AL-11,5AL,11,0.0025185,,5-Apr-21
Schizachyrium_scoparium,Aub014-5AL-12,5AL,12,0.0021101,,5-Apr-21
Schizachyrium_scoparium,Aub014-5AL-13,5AL,13,0.0018216,,6-Apr-21
Schizachyrium_scoparium,Aub014-5AL-14,5AL,14,0.0024081,,6-Apr-21
Schizachyrium_scoparium,Aub014-5AL-15,5AL,15,0.0023175,,6-Apr-21
Schizachyrium_scoparium,Aub014-5AL-16,5AL,16,0.0024813,,6-Apr-21
Schizachyrium_scoparium,Aub014-5AL-17,5AL,17,0.0026036,,
Sorghastrum_elliottii,PI-674985-1,PI-674985,1,0.0015008,,18-Aug-21
Sorghastrum_elliottii,PI-674985-2,PI-674985,2,0.0019931,,18-Aug-21
Sorghastrum_elliottii,PI-674985-3,PI-674985,3,0.0016042,,18-Aug-21
Sorghastrum_elliottii,PI-674985-4,PI-674985,4,0.0017169,,18-Aug-21
Sorghastrum_elliottii,PI-674985-5,PI-674985,5,0.0015882,,18-Aug-21
Sorghastrum_elliottii,PI-674985-6,PI-674985,6,0.0015267,,18-Aug-21
Sorghastrum_elliottii,PI-674985-7,PI-674985,7,0.0016377,,18-Aug-21
Sorghastrum_elliottii,PI-674985-8,PI-674985,8,0.0016995,,18-Aug-21
Sorghastrum_elliottii,PI-674985-9,PI-674985,9,0.0016113,,18-Aug-21
Sorghastrum_elliottii,PI-674985-10,PI-674985,10,0.0016587,,18-Aug-21
Sorghastrum_nutans,TP_KW-1,TP_KW,1,0.0039219,,5-Apr-22
Sorghastrum_nutans,TP_KW-2,TP_KW,2,0.0036703,,5-Apr-22
Sorghastrum_nutans,TP_KW-3,TP_KW,3,0.0041578,,5-Apr-22
Sorghastrum_nutans,TP_KW-4,TP_KW,4,0.0044373,,5-Apr-22
Sorghastrum_nutans,TP_KW-5,TP_KW,5,0.004998,,5-Apr-22
